group_id,date,location,dec12
1,28.07.2016,Stock-F1,27 811 1017 2122 2185 2186 2313 2611 2618 3450 3480 3736
2,29.07.2016,Stock-F1,811 1388 2122 2185 2186 2611 2618 3450 3480 3736
3,31.07.2016,Stock-F1,442 811 1235 2122 2185 3192 3450 3480 3648 3736 4056
4,01.08.2016,Stock-F1,442 811 1017 1235 1388 1475 2160 2185 3192 3450 3480 3528 3648 3736 4056
5,02.08.2016,F1,1235 1475 2160 2186 2313 3480 3736 4056
6,03.08.2016,F1,1235 1475 2160 2185 2186 3648 3736 4056
7,04.08.2016,F1,1883 2185 2186 3178 3528 3648 3736
8,05.08.2016,F1,27 1883 2122 2160 2185 2186 2611 3178 3528 3648 3736
9,08.08.2016,F1-F2,27 698 918 1017 1297 1883 2122 2185 2745 3178 3192
10,09.08.2016,F1-F2,27 275 698 918 1017 1297 1325 1572 1883 2122 2185 2186 2307 3178 3192 3813 3831
11,10.08.2016,F1-F2,27 918 1017 1297 1325 1572 1883 2185 2186 3192 3831
12,11.08.2016,F2,27 275 918 1017 1297 1325 1572 1883 2122 2185 3192 3813 3831
13,12.08.2016,F2,27 275 918 1017 1297 1325 1572 1883 2185 3192 3813 3831
14,14.08.2016,F2,27 275 698 918 1017 1297 1325 1883 2122 2185 3178 3192 3332 3813 3831
15,16.08.2016,F2,27 918 1017 1297 1325 1572 1883 2307 3178 3192 3813 3831
16,17.08.2016,F2,27 918 1017 1297 1572 1883 2122 2307 3178 3192 3813 3831
17,18.08.2016,F2,27 1017 1297 1572 1883 2122 2307 3192 3813 3831
18,19.08.2016,F2,918 1017 1883 3178 3831
19,22.08.2016,F2-F3,918 1017 1883 2122 3178 3831
20,23.08.2016,F3,119 918 936 2022 2508 2691 2772 2854 3069 3332 3831
21,24.08.2016,F3,23 119 918 936 2022 2508 2691 2772 2854 3069 3332 3831
22,25.08.2016,F4,23 119 936 2508 2772 2854 3831
23,26.08.2016,F3,23 119 918 936 2772 2854 3831
24,01.09.2016,F3,23 119 162 407 1729 2454 3458 3547 3645
25,02.09.2016,F3,23 119 162 407 1729 2454 3458 3547 3645
